FIPS,MSAID,MSANAME,ST,ALLCOMPLEV,EDCOMPLEV,HECOMPLEV,NBCOMPLEV,ALLCOMP,EDCOMP,HECOMP,NBCOMP,ED1Z,ED2Z,ED3Z,ED4Z,ED5Z,ED6Z,ED7Z,ED8Z,HE3Z,HE4Z,HE5Z,HE6Z,HE7Z,HE8Z,NB1Z,NB2Z,NB3Z,NB4Z,NB5Z,OL1,OL2,OL3,OL4,OL5,OL6,OL7
26163558000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.672284,1.103304,0.289282,0.624266,0.97182,1.17633,0.65724,0.85432,1.16983,0.82596,2.89422,0.27671,-0.07466,-0.89939,0.1793,0.92286,0.84695,0.76063,0.33754,0.84562,0.46504,0.49553,0.9776,962,40,869,15,3,9,26
26163558100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.641068,0.981734,0.344822,0.596648,0.81276,1.15227,0.65724,0.85432,1.28729,0.82596,-0.27576,2.53979,0.47298,-0.79413,0.17839,0.77521,0.73911,0.69737,0.48846,0.75698,0.32285,0.63373,0.78122,728,39,600,35,2,21,31
26163558200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,High,Very High,Very High,0.495746,0.575806,0.40251,0.508922,0.05017,1.15227,0.54507,0.8922,0.76265,0.82596,-0.27576,0.65389,1.09886,-0.63004,0.1804,0.74639,0.71748,0.30197,0.09764,0.53306,1.00277,0.39727,0.51387,1062,42,850,69,0,57,44
26163558300,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,High,0.485557,0.684199,0.362845,0.409626,-0.81893,1.17633,0.56134,0.694,0.0165,0.82596,-0.27576,3.29415,0.05573,-1.09028,0.12746,0.17966,0.62555,2.27895,-0.18081,0.89342,0.55908,-0.07803,0.85447,427,24,343,22,2,5,31
26163558400,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Very High,0.324182,0.308514,-0.020137,0.684168,0.27736,0.99045,0.40225,0.53398,-0.56284,0.82596,-0.27576,0.27671,-0.9874,-0.67838,0.169,0.69848,0.88161,-0.20413,0.65727,0.68769,0.88863,0.80723,0.38002,778,26,651,50,0,29,22
26163558500,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Moderate,High,Very High,0.232889,-0.008237,0.140452,0.566454,0.04907,0.8665,0.3646,0.58321,-2.00183,0.82596,-0.27576,-0.47765,-0.07466,-1.13099,0.17167,0.92185,0.985,-0.03016,0.48419,0.78893,0.32902,0.64475,0.58538,770,35,687,14,5,5,24
26163558600,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Moderate,Very High,Very High,0.347554,0.06577,0.374377,0.602516,0.38897,0.52363,0.3646,0.58321,-0.65245,0.82596,-0.27576,-1.232,0.83807,-0.68155,0.17638,0.71234,0.88323,0.31779,0.49446,0.76351,0.10824,0.93397,0.7124,413,18,363,2,0,15,15
26163558700,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,High,Very High,0.521224,0.648409,0.286257,0.629008,1.07566,0.91191,1.01509,1.19124,-0.21072,0.82596,-0.27576,0.65389,0.83807,-0.9523,0.18008,0.80948,0.69839,0.14382,0.32744,0.79452,0.98018,0.30388,0.73902,671,25,624,7,0,7,8
26163558800,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Very High,0.383959,0.525935,0.084703,0.541238,0.54911,0.81358,0.54154,0.7349,1.11862,0.82596,-0.27576,-0.10047,-0.9874,-0.71765,0.18033,0.90557,0.93611,0.19126,0.3508,0.70174,0.52367,0.44525,0.68473,592,28,517,13,0,3,31
26163558900,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Very High,0.348795,0.512325,-0.046887,0.580946,0.70752,0.60777,0.73958,1.01152,0.58248,0.82596,-0.27576,-0.10047,-0.9874,-1.00269,0.18158,0.66658,0.71679,0.14382,0.22077,0.85037,0.4293,0.80608,0.59821,438,20,378,19,3,4,14
26163559000,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,Very High,Moderate,Very High,0.376225,0.621393,-0.070775,0.578056,0.31481,0.79103,0.73958,1.01152,1.28729,0.82596,-0.27576,0.27671,-0.9874,-0.73268,0.18175,0.58676,0.82595,-0.29903,0.00373,0.80456,0.92704,0.61668,0.53827,640,28,543,33,1,12,23
26163559100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Very High,0.275796,0.327776,-0.019063,0.518674,0.21609,0.5726,0.5261,0.93431,0.30056,0.82596,-0.27576,-0.47765,-0.9874,-0.76634,0.18163,0.92013,0.77336,-0.23576,0.11763,1.01686,0.39378,0.64177,0.42333,655,39,535,44,0,11,26
26163559200,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,High,High,Moderate,Moderate,0.241413,0.565348,0.023423,0.135468,0.27377,0.5726,0.73958,1.01152,-0.41032,0.82596,-0.27576,1.78543,-0.9874,-0.52519,0.18165,0.74238,0.96486,-0.23576,0.06529,0.4471,-0.01416,-0.21852,0.39763,512,30,417,21,0,20,24
26163560100,19820,"Detroit-Warren-Livonia, MI Metropolitan Statistical Area",MI,Very High,Very High,Very High,High,1.00398,2.095511,0.512087,0.404342,1.33825,1.5951,1.56074,1.43008,1.28729,1.32582,6.0642,2.16261,2.66355,-0.20847,0.18277,0.7786,0.36631,-0.71024,-0.14104,0.97984,0.92068,0.76095,-0.49872,570,14,504,6,0,13,33
